index,name,category
633,DX-Hmnc 3,-1
634,DX-Hmnc 4,-1
635,Chromonica,-1
636,FM-Hmnc 1,-1
637,FM-Hmnc 2,-1
638,Bluesharp,-1
639,Buzzharp,-1
640,DX-AcstGt1,-1
641,DX-AcstGt2,-1
642,DX-AcstGt3,-1
643,DX-AcstGt4,-1
644,DX-AcstGt5,-1
645,GuitarBell,-1
646,LuteGuitar,-1
647,DX-PickGt1,-1
648,DX-PickGt2,-1
649,DX-PickGt3,-1
650,DX-PickGt4,-1
651,DX-PickGt5,-1
652,DX-PickGt6,-1
653,DX-PickGt7,-1
654,DX-PickGt8,-1
655,Synhalon,-1
656,Picksynth,-1
657,Compitar,-1
658,Stratish,-1
659,Banjitar,-1
660,Touch Mute,-1
661,Firenze,-1
662,Folknik,-1
663,FunkyPluck,-1
664,Guitar Box,-1
665,Long Nail,-1
666,Pianatar,-1
667,RhythmPluk,-1
668,SteelyPick,-1
669,TiteGuitar,-1
670,DX-JazzGt1,-1
671,DX-JazzGt2,-1
672,DX-JazzGt3,-1
673,DX-JazzGt4,-1
674,DX-JazzGt5,-1
675,Guitorgan,-1
676,DX-ClGt 1,-1
677,DX-ClGt 2,-1
678,DX-ClGt 3,-1
679,DX-ClGt 4,-1
680,DX-ClGt 5,-1
681,DX-ClGt 6,-1
682,DX-ClGt 7,-1
683,DX-ClGt 8,-1
684,DX-ClGt 9,-1
685,DX-ClGt 10,-1
686,DX-ClGt 11,-1
687,DX-ClGt 12,-1
688,Buzzstring,-1
689,DX-MuteGt1,-1
690,DX-MuteGt2,-1
691,DX-MuteGt3,-1
692,DX-MuteGt4,-1
693,Heavy Gage,-1
694,DX-OvDrGt,-1
695,DX-DistGt1,-1
696,DX-DistGt2,-1
697,DX-DistGt3,-1
698,DX-DistGt4,-1
699,DX-DistGt5,-1
700,Stortion1,-1
701,Pluckoww,-1
702,Stortion2,-1
703,FuzzGuitar,-1
704,DX-WoodBa1,-1
705,DX-WoodBa2,-1
706,DX-WoodBa3,-1
707,DX-WoodBa4,-1
708,DX-WoodBa5,-1
709,DX-WoodBa6,-1
710,DX-WoodBa7,-1
711,DarkWodBa1,-1
712,DarkWodBa2,-1
713,BoogieBass,-1
714,BassLegend,-1
715,DX-FngrBa1,-1
716,DX-FngrBa2,-1
717,DX-FngrBa3,-1
718,DX-FngrBa4,-1
719,Fusit Bass,-1
720,FingerPick,-1
721,HardFinger,-1
722,Harm Bass,-1
723,Inorganic,-1
724,Nasty Bass,-1
725,SkweekBass,-1
726,DX-PickBa1,-1
727,DX-PickBa2,-1
728,DX-PickBa3,-1
729,DX-PickBa4,-1
730,Bass Magic,-1
731,Chiff Bass,-1
732,Comped EB,-1
733,Metal Bass,-1
734,Owl Bass,-1
735,Pick Pluck,-1
736,Plektrumbs,-1
737,Wired Bass,-1
738,FretlesBa1,-1
739,FretlesBa2,-1
740,FretlesBa3,-1
741,FretlesBa4,-1
742,FretlesBa5,-1
743,SlapString,-1
744,Lite Slap,-1
745,RoundWound,-1
746,ImpactBass,-1
747,Afresh,-1
748,WireString,-1
749,Clakwire,-1
750,SuperBass1,-1
751,SuperBass2,-1
752,DigiBass 1,-1
753,DigiBass 2,-1
754,Digit Bass,-1
755,Draft Bass,-1
756,Brainacus,-1
757,DX-SynBa 1,-1
758,DX-SynBa 2,-1
759,DX-SynBa 3,-1
760,DX-SynBa 4,-1
761,DX-SynBa 5,-1
762,DX-SynBa 6,-1
763,DX-SynBa 7,-1
764,DX-SynBa 8,-1
765,DX-SynBa 9,-1
766,AnalogBass,-1
767,Nharmonik,-1
768,BassNovo,-1
769,BassResWp,-1
770,Cutmandu,-1
771,DX-Bass 1,-1
772,DX-Bass 2,-1
773,DX-Bass 3,-1
774,DX-Bass 4,-1
775,DX-Bass 5,-1
776,DX-Bass 6,-1
777,WireBass 1,-1
778,WireBass 2,-1
779,HardDXBass,-1
780,SmakaBass,-1
781,AnaBass 1,-1
782,AnaBass 2,-1
783,AnaBass 3,-1
784,81Z Bass,-1
785,DiscBass 1,-1
786,DiscBass 2,-1
787,Hop Bass 1,-1
788,Hop Bass 2,-1
789,After 88,-1
790,Cable Bass,-1
791,Wood Rez,-1
792,EazyAction,-1
793,ExciteBass,-1
794,PrkussBass,-1
795,Flapstick,-1
796,Jackson,-1
797,NipponBass,-1
798,Bass Knock,-1
799,Ana Stevie,-1
800,Munkhen,-1
801,Perc Bass,-1
802,Remark,-1
803,SmoothBass,-1
804,Ana Knock,-1
805,Jaco Syn,-1
806,Werksfunk,-1
807,ZedRubba,-1
808,DX-Violin1,-1
809,DX-Violin2,-1
810,DX-Violin3,-1
811,DX-Violin4,-1
812,Violinz,-1
813,DX-Viola 1,-1
814,DX-Viola 2,-1
815,DX-Viola 3,-1
816,DX-Cello 1,-1
817,DX-Cello 2,-1
818,DX-Cello 3,-1
819,DX-Cello 4,-1
820,Rosin,-1
821,DX-Str 1,-1
822,DX-Str 2,-1
823,DX-Str 3,-1
824,DX-Str 4,-1
825,DX-Str 5,-1
826,DX-Str 6,-1
827,DX-Str 7,-1
828,DX-Str 8,-1
829,DX-Str 9,-1
830,DX-Str 10,-1
831,DX-Str 11,-1
832,DX-Str 12,-1
833,DX-Str 13,-1
834,Quick Arco,-1
835,MidString1,-1
836,MidString2,-1
837,LowString1,-1
838,LowString2,-1
839,MM-String,-1
840,DX-AnaSt 1,-1
841,DX-AnaSt 2,-1
842,DX-AnaSt 3,-1
843,DX-SynSt 1,-1
844,DX-SynSt 2,-1
845,DX-SynSt 3,-1
846,DX-SynSt 4,-1
847,DX-SynSt 5,-1
848,DX-SynSt 6,-1
849,DX-SynSt 7,-1
850,WarmStr 1,-1
851,WarmStr 2,-1
852,WarmStr 3,-1
853,WarmStr 4,-1
854,Afternoon,-1
855,Agitate,-1
856,AnnaString,-1
857,Bright Str,-1
858,General,-1
859,GentleMind,-1
860,Gypsy,-1
861,MaxiString,-1
862,Michelle,-1
863,MoterDrive,-1
864,ReverbStrg,-1
865,StrMachine,-1
866,Silk Hall,-1
867,Small Sect,-1
868,Soft Bow,-1
869,Soline,-1
870,Violtron,-1
871,DX-PizzSt,-1
872,PizzString,-1
873,DX-Harp 1,-1
874,DX-Harp 2,-1
875,DX-Harp 3,-1
876,Baroquen,-1
877,Dbl Harp 1,-1
878,Dbl Harp 2,-1
879,Apollon,-1
880,CembaHarp,-1
881,ElectrHarp,-1
882,HarpStrum,-1
883,Lute Harp,-1
884,Metal Harp,-1
885,Orch Harp,-1
886,Syn Harp,-1
887,DX-Timpani,-1
888,Timpanic!,-1
889,Iron Timpa,-1
890,Ensemble,-1
891,HallOrch 1,-1
